DEPARTAMENTO;DISTRITO
Alto Paraguay;Bahía Negra
Alto Paraguay;Capitán Carmelo Peralta
Alto Paraguay;Fuerte Olimpo
Alto Paraguay;Puerto Casado
Alto Parana;Ciudad del Este
Alto Parana;Doctor Juan León Mallorquín
Alto Parana;Doctor Raúl Peña
Alto Parana;Domingo Martínez de Irala
Alto Parana;Hernandarias
Alto Parana;Iruña
Alto Parana;Itakyry
Alto Parana;Juan Emiliano O'Leary
Alto Parana;Los Cedrales
Alto Parana;Mbaracayú
Alto Parana;Minga Guazú
Alto Parana;Minga Porá
Alto Parana;Naranjal
Alto Parana;Ñacunday
Alto Parana;Presidente Franco
Alto Parana;San Alberto
Alto Parana;San Cristóbal
Alto Parana;Santa Fe del Paraná
Alto Parana;Santa Rita
Alto Parana;Santa Rosa del Monday
Alto Parana;Tavapy
Alto Parana;Yguazú
Amambay;Bella Vista Norte
Amambay;Capitán Bado
Amambay;Cerro Corá
Amambay;Karapaí
Amambay;Pedro Juan Caballero
Amambay;Zanja Pytá
Asunción;Asunción
Boquerón;Boquerón
Boquerón;Filadelfia
Boquerón;Loma Plata
Boquerón;Mariscal José Félix Estigarribia
Caaguazú;Caaguazú
Caaguazú;Carayaó
Caaguazú;Coronel Oviedo
Caaguazú;Doctor Cecilio Báez
Caaguazú;Doctor Juan Eulogio Estigarribia
Caaguazú;Doctor Juan Manuel Frutos
Caaguazú;José Domingo Ocampos
Caaguazú;La Pastora
Caaguazú;Mariscal Francisco Solano López
Caaguazú;Nueva Londres
Caaguazú;Nueva Toledo
Caaguazú;Raúl Arsenio Oviedo
Caaguazú;Regimiento de Infantería Tres Corrales
Caaguazú;Repatriación
Caaguazú;San Joaquín
Caaguazú;San José de los Arroyos
Caaguazú;Santa Rosa del Mbutuy
Caaguazú;Simón Bolívar
Caaguazú;Tembiaporá
Caaguazú;Tres de Febrero
Caaguazú;Vaquería
Caaguazú;Yhú
Caazapá;Abaí
Caazapá;Buena Vista
Caazapá;Caazapá
Caazapá;Doctor Moisés Santiago Bertoni
Caazapá;Fulgencio Yegros
Caazapá;General Higinio Morínigo
Caazapá;Maciel
Caazapá;San Juan Nepomuceno
Caazapá;Tavaí
Caazapá;Tres de Mayo
Caazapá;Yuty
Canindeyú;Corpus Christi
Canindeyú;Curuguaty
Canindeyú;General Francisco Caballero Álvarez
Canindeyú;Itanará
Canindeyú;Katueté
Canindeyú;La Paloma del Espíritu Santo
Canindeyú;Laurel
Canindeyú;Maracaná
Canindeyú;Nueva Esperanza
Canindeyú;Puerto Adela
Canindeyú;Salto del Guairá
Canindeyú;Villa Ygatimí
Canindeyú;Yasy Cañy
Canindeyú;Yby Pytá
Canindeyú;Ybyrarobaná
Canindeyú;Ypejhú
Central;Areguá
Central;Capiatá
Central;Fernando de la Mora
Central;Guarambaré
Central;Itá
Central;Itauguá
Central;Julián Augusto Saldívar
Central;Lambaré
Central;Limpio
